index	Year	Type	Country	Activity	Injury	Fatal	NOT Fatal	Boating	Invalid
1275	2008	Unprovoked	FIJI	Spearfishing	Left forearm bitten 	0	1	0	0
1276	2008	Unprovoked	USA	Wading	Shin bitten	0	1	0	0
1277	2008	Unprovoked	USA	Surfing	Foot bitten	0	1	0	0
1278	2008	Unprovoked	AUSTRALIA	Body boarding	FATAL	1	0	0	0
1279	2008	Unprovoked	USA	Walking out of the water after surfing	Right foot & ankle bitten	0	1	0	0
1280	2008	Unprovoked	SOUTH AFRICA	Fishing from surfski	Right leg bitten	0	1	0	0
1281	2008	Unprovoked	USA	Surfing	Foot bitten	0	1	0	0
1282	2008	Unprovoked	USA	Boogie Boarding	Right foot bitten	0	1	0	0
1283	2008	Unprovoked	USA	Walking out of the water after surfing	Three small lacerations/ punctures to right foot	0	1	0	0
1284	2008	Unprovoked	USA	Wading	Two 3-inch lacerations to right ankle	0	1	0	0
1285	2008	Unprovoked	USA	Jet skiing	Minor injury	0	1	0	0
1286	2008	Unprovoked	USA	Surfing	No injury to surfer, surfboard bitten by the shark	0	1	0	0
1287	2008	Unprovoked	BAHAMAS	Diving	Leg bitten, FATAL	1	0	0	0
1288	2008	Unprovoked	FRENCH POLYNESIA	Spearfishing	Lacerations to face	0	1	0	0
1289	2008	Unprovoked	USA	Surfing	Lacerations to foot	0	1	0	0
1290	2008	Unprovoked	AUSTRALIA	Surfing	Abrasions to elbow; collided with shark	0	1	0	0
1291	2008	Unprovoked	USA	Surf-skiing	Lacerations to foot	0	1	0	0
1292	2008	Provoked	JAPAN	Diving	No injury, captive shark attempted to bite diver's arm PROVOKED INCIDENTt	0	1	0	0
1293	2008	Unprovoked	SOUTH AFRICA	Surf-skiing	No injury to surf-skiier, shark holed ski	0	1	0	0
1294	2008	Provoked	AUSTRALIA	Accidentally stood on hooked shark's tail before attempting to gut it 	Laceration to left knee PROVOKED INCIDENT	0	1	0	0
1295	2008	Invalid	NEW ZEALAND	Wading	Stingray envenomation, not a shark	0	0	0	1
1296	2008	Boating	NEW ZEALAND	Attempting to chase shark out to sea	No injury to occupants, pontoon punctured	0	0	1	0
1297	2008	Unprovoked	USA	Surfing	Left foot bitten	0	1	0	0
1298	2008	Provoked	USA	Fishing for snapper	Minor injury to hand by hooked shark   PROVOKED INCIDENT	0	1	0	0
1299	2008	Unprovoked	MEXICO	Surfing	Leg bitten	0	1	0	0
1300	2007	Unprovoked	ECUADOR	Surfing	Lacerations & puncture wounds  to left thigh	0	1	0	0
1301	2007	Invalid	BRITISH VIRGIN ISLANDS	Scuba diving	Shark bites were post-mortem	0	0	0	1
1302	2007	Unprovoked	AUSTRALIA	Surfing	Severe lacerations to right buttock	0	1	0	0
1303	2007	Unprovoked	AUSTRALIA	Swimming	Lacerations to hand	0	1	0	0
1304	2007	Invalid	AUSTRALIA	Swimming	Lacerations to left forearm	0	0	0	1
1305	2007	Unprovoked	USA	Surfing	No injury, shark bit surfboard 	0	1	0	0
1306	2007	Unprovoked	NEW ZEALAND	Surfing	No injury, shark bit surfboard & severed leash	0	1	0	0
1307	2007	Unprovoked	BRAZIL	Removing fish from a trap	20 cm injury to left foot	0	1	0	0
1308	2007	Provoked	AUSTRALIA	Fishing	Minor injury to finger by netted shark PROVOKED INCIDENT	0	1	0	0
1309	2007	Unprovoked	AUSTRALIA	Surfing	No injury, teethmarks in board & torn wetsuit	0	1	0	0
1310	2007	Unprovoked	SOUTH AFRICA	Surfing	Lacerations to feet	0	1	0	0
1311	2007	Unprovoked	USA	Surfing	Cut to right knee	0	1	0	0
1312	2007	Unprovoked	USA	Surfing	Lacerations to right leg	0	1	0	0
1313	2007	Unprovoked	SOUTH AFRICA	Surfing	Lacerations to thigh	0	1	0	0
